Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Passenger Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor
NonScheduledInternational,Air India,2021,4,1367,9579.45,7859.127,195253.0,1289436.044,1964826.284,65.626,123537.177,160618.585,298444.19,53.819
NonScheduledInternational,Air India,2021,5,973,6368.65,5384.127,89264.0,494832.98,1235038.532,40.066,53080.669,86683.097,182605.158,47.47
NonScheduledInternational,Air India,2021,6,805,4945.767,4257.235,83592.0,437925.868,933162.526,46.929,39848.45,67930.389,135225.672,50.235
NonScheduledInternational,Air India,2021,7,880,5368.75,4493.062,109227.0,630147.059,998923.918,63.083,57636.896,84012.569,144013.208,58.337
NonScheduledInternational,Air India,2021,8,1251,8170.1,6559.041,179698.0,1039489.095,1556812.89,66.77,95271.458,125429.237,228780.877,54.825
NonScheduledInternational,Air India,2021,9,1465,9314.117,7546.472,218602.0,1108511.04,1716970.896,64.562,100026.704,136529.017,250032.738,54.604
NonScheduledInternational,Air India,2021,10,1717,11485.267,9223.607,294469.0,1608282.073,2193489.504,73.321,154712.824,200852.302,326106.782,61.591
NonScheduledInternational,Air India,2021,11,1893,12568.983,9914.294,349421.0,2016426.964,2426540.858,83.099,212699.109,250704.891,360230.619,69.596
NonScheduledInternational,Air India,2021,12,2088,14108.467,11102.544,374740.0,2227548.903,2743912.158,81.181,238781.927,282613.512,19621.714,1440.31
NonScheduledInternational,Air India,2022,1,2043,13848.633,11028.58,317242.0,2001960.499,2722724.89,73.528,215820.745,260817.921,405429.812,64.331
NonScheduledInternational,Air India,2022,2,1857,12642.45,10093.394,326066.0,2044485.364,2509293.13,81.477,220770.61,264276.926,373730.497,70.713
NonScheduledInternational,Air India,2022,3,2184,14757.667,11642.559,404581.0,2457162.698,2894350.416,84.895,263779.773,313948.922,429845.524,73.038
NonScheduledInternational,Air India,2023,9,2,20.034,14.868,528.0,4012.964,5084.856,78.92,300.972,300.972,856.397,35.144
NonScheduledInternational,Air India,2023,11,2,7.983,5.108,315.0,804.51,919.44,87.5,60.338,60.338,80.196,75.238
NonScheduledInternational,Air India,2023,12,2,6.516,9.476,307.0,659.436,773.28,85.278,49.458,49.458,67.448,73.327
NonScheduledInternational,Air India,2024,8,1,2.383,1.426,193.0,275.218,330.832,83.19,23.288,23.288,27.626,84.298
NonScheduledInternational,Air India,2024,11,2,14.783,11.644,497.0,2893.534,2980.864,97.07,272.307,272.307,279.118,97.56
NonScheduledInternational,Air India Express,2020,5,227,898.0,669.66,21478.0,57673.0,124557.0,46.302,4132.09,4838.03,4894.14,98.854
NonScheduledInternational,Air India Express,2020,6,497,1852.04,1274.032,44646.0,125164.874,236969.916,52.819,9439.629,11740.736,14047.319,83.58
NonScheduledInternational,Air India Express,2020,7,715,2495.18,1671.076,70782.0,190210.294,310820.136,61.196,12899.912,15316.942,19030.791,80.485
NonScheduledInternational,Air India Express,2020,8,1047,3677.68,2459.725,108214.0,297931.277,457508.808,65.12,21031.795,24098.096,30020.535,80.272
NonScheduledInternational,Air India Express,2020,9,1025,3756.34,2493.129,106419.0,295585.435,463721.994,63.742,22319.268,25313.611,32042.556,79.0
NonScheduledInternational,Air India Express,2020,10,1267,4687.49,3133.965,126862.0,354555.005,582917.49,60.824,25405.767,29009.467,36254.397,80.016
NonScheduledInternational,Air India Express,2020,11,1401,5212.84,3485.39,159026.0,422460.857,648282.54,65.166,28554.522,31764.819,40136.107,79.143
NonScheduledInternational,Air India Express,2020,12,1597,5966.57,4004.356,201257.0,549166.872,744810.216,73.732,37922.665,41077.885,51491.337,79.776
NonScheduledInternational,Air India Express,2021,1,1781,6720.35,4508.563,211845.0,583081.305,838592.718,69.531,40191.405,44224.472,55696.126,79.403
NonScheduledInternational,Air India Express,2021,2,1551,5941.94,3996.754,182235.0,497559.596,743396.244,66.931,33214.202,37191.741,47061.896,79.027
NonScheduledInternational,Air India Express,2021,3,1745,6651.44,4481.999,211519.0,581003.029,833651.814,69.694,37711.684,42577.075,54252.401,78.48
NonScheduledInternational,Air India Express,2021,4,1656,5692.37,4333.181,161683.0,447329.621,805971.666,55.502,28844.058,33989.325,43426.457,78.269
NonScheduledInternational,Air India Express,2021,5,1145,3902.63,2916.15,49102.0,148210.538,542403.9,27.325,28925.854,34545.902,44453.83,77.712
NonScheduledInternational,Air India Express,2021,6,1188,4039.81,2740.61,66727.0,198567.044,509753.46,38.954,15382.239,21717.651,28700.582,75.67
